case	model	table	phase	weight	calls	total_ms	avg_us	lhs_shape	rhs_shape	sequence_len
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.14.mlp.down_proj.weight	4	0.256152	64.038	[1x1x3072]	[1024x384]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.14.mlp.gate_up_proj.weight	4	0.327811	81.953	[1x1x1024]	[6144x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.14.self_attn.o_proj.weight	4	0.330420	82.605	[1x1x2048]	[1024x256]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.14.self_attn.qkv_proj.weight	4	0.284891	71.223	[1x1x1024]	[4096x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.15.mlp.down_proj.weight	4	0.259493	64.873	[1x1x3072]	[1024x384]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.15.mlp.gate_up_proj.weight	4	0.333170	83.293	[1x1x1024]	[6144x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.15.self_attn.o_proj.weight	4	0.342010	85.502	[1x1x2048]	[1024x256]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.15.self_attn.qkv_proj.weight	4	0.282582	70.645	[1x1x1024]	[4096x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.16.mlp.down_proj.weight	4	0.258212	64.553	[1x1x3072]	[1024x384]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.16.mlp.gate_up_proj.weight	4	0.331550	82.888	[1x1x1024]	[6144x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.16.self_attn.o_proj.weight	4	0.346170	86.542	[1x1x2048]	[1024x256]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.16.self_attn.qkv_proj.weight	4	0.282902	70.725	[1x1x1024]	[4096x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.17.mlp.down_proj.weight	4	0.261222	65.306	[1x1x3072]	[1024x384]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.17.mlp.gate_up_proj.weight	4	0.326071	81.518	[1x1x1024]	[6144x128]	1
